wl	n	k
1.226	2.801	4.59E-04
1.227	2.8	4.57E-04
1.228	2.8	4.54E-04
1.229	2.8	4.51E-04
1.23	2.8	4.48E-04
1.231	2.799	4.46E-04
1.232	2.799	4.43E-04
1.233	2.799	4.40E-04
1.234	2.799	4.38E-04
1.235	2.798	4.35E-04
1.236	2.798	4.32E-04
1.237	2.798	4.30E-04
1.238	2.798	4.27E-04
1.239	2.797	4.25E-04
1.24	2.797	4.22E-04
1.241	2.797	4.20E-04
1.242	2.797	4.17E-04
1.243	2.796	4.14E-04
1.244	2.796	4.12E-04
1.245	2.796	4.09E-04
1.246	2.796	4.07E-04
1.247	2.795	4.04E-04
1.248	2.795	4.02E-04
1.249	2.795	3.99E-04
1.25	2.795	3.97E-04
1.251	2.794	3.95E-04
1.252	2.794	3.92E-04
1.253	2.794	3.90E-04
1.254	2.794	3.87E-04
1.255	2.793	3.85E-04
1.256	2.793	3.82E-04
1.257	2.793	3.80E-04
1.258	2.793	3.78E-04
1.259	2.793	3.75E-04
1.26	2.792	3.73E-04
1.261	2.792	3.71E-04
1.262	2.792	3.68E-04
1.263	2.792	3.66E-04
1.264	2.791	3.64E-04
1.265	2.791	3.62E-04
1.266	2.791	3.59E-04
1.267	2.791	3.57E-04
1.268	2.79	3.55E-04
1.269	2.79	3.53E-04
1.27	2.79	3.50E-04
1.271	2.79	3.48E-04
1.272	2.79	3.46E-04
1.273	2.789	3.44E-04
1.274	2.789	3.42E-04
1.275	2.789	3.40E-04
1.276	2.789	3.37E-04
1.277	2.788	3.35E-04
1.278	2.788	3.33E-04
1.279	2.788	3.31E-04
1.28	2.788	3.29E-04
1.281	2.788	3.27E-04
1.282	2.787	3.25E-04
1.283	2.787	3.23E-04
1.284	2.787	3.21E-04
1.285	2.787	3.18E-04
1.286	2.786	3.16E-04
1.287	2.786	3.14E-04
1.288	2.786	3.12E-04
1.289	2.786	3.10E-04
1.29	2.786	3.08E-04
1.291	2.785	3.06E-04
1.292	2.785	3.04E-04
1.293	2.785	3.02E-04
1.294	2.785	3.00E-04
